id,slug,name,area,db_address,db_phone,db_latitude,db_longitude,classification,candidate_count,selected_place_id,selected_place_name,selected_road_address,selected_phone,selected_latitude,selected_longitude,name_match,address_match,phone_match,coordinate_distance_m,recommended_kakao_map_url,recommendation,review_reason
eca38f0d-aa5d-413d-ae81-be24147d5350,2tv-sasang-yeonghui-halmae-jaecheopguk,영희할매재첩국,사상,부산 사상구 낙동대로1530번길 20-15,,35.1943840522469,128.985120470772,NO_MATCH,0,,,,,,,,,,,,수동 Kakao 확인,검색 결과 없음
432ac814-40a5-4516-ab73-e717144b3ad2,ansungjae-yeonje-mapobonga,마포본가,연제,부산 연제구 월드컵대로111번길 10,,35.184342930923,129.082279198059,EXACT_MATCH,5,17981818,마포본가,부산 연제구 월드컵대로111번길 10,051-867-9252,35.1839806679219,129.082174348441,EXACT,EXACT,MISSING,41,https://place.map.kakao.com/17981818,승인 후 DB 반영 후보,
c97e4fe7-625f-4e6e-a20d-75f51b2521b2,baekban-nampo-subok-centa,수복센타,남포동,부산 중구 남포길 25-3,,35.0988509225395,129.031456197999,EXACT_MATCH,4,11128820,수복센타,부산 중구 남포길 25-3,051-245-9986,35.09888829266081,129.0314310282674,EXACT,EXACT,MISSING,5,https://place.map.kakao.com/11128820,승인 후 DB 반영 후보,
ad2a5732-f633-4793-9f05-459ba9795f87,baekban-seogu-yetnal-guksujip,옛날국수집,기타,부산 서구 까치고개로160번길 54,,35.099268125477,129.016099525161,EXACT_MATCH,5,964978610,옛날국수집,부산 서구 까치고개로160번길 54,051-241-7454,35.09927130462,129.016103441313,EXACT,EXACT,MISSING,1,https://place.map.kakao.com/964978610,승인 후 DB 반영 후보,
02921b80-dd6a-4f41-9538-7ca1e8a68884,jeonhyun-gwangalli-biwa-suljan,비와술잔,광안리,부산 수영구 황령대로489번길 49-8 1층,,35.1402076759138,129.109263956848,EXACT_MATCH,2,1848137369,비와술잔,부산 수영구 황령대로489번길 49-8,051-621-2540,35.14020600272599,129.10926171957024,EXACT,EXACT,MISSING,0,https://place.map.kakao.com/1848137369,승인 후 DB 반영 후보,
563dcfc8-0abe-4a3b-a32e-5385f1f8d870,jeonhyun-gwangalli-yeonhap-hoejip,연합횟집,광안리,부산 수영구 남천1동 192,,35.1404596901443,129.109762929823,REVIEW,1,18833899,연합횟집,부산 수영구 황령대로489번길 59,051-623-6039,35.1403230174367,129.109786937943,EXACT,PARTIAL,MISSING,15,,추가 검증 필요,"EXACT 기준 강후보 없음(최상위 name=EXACT,addr=PARTIAL,phone=MISSING)"
ebaaf480-2957-41a9-a7d8-51dd90f14575,jeonhyun-nampo-mullebanga-jeukseokgui,물레방아 즉석구이,남포동,부산 중구 중앙대로41번길 11-1,,35.1013730572428,129.036245143996,EXACT_MATCH,2,8301894,물레방아즉석구이,부산 중구 중앙대로41번길 11-1,051-245-1195,35.1010511492018,129.03513510735,EXACT,EXACT,MISSING,107,https://place.map.kakao.com/8301894,승인 후 DB 반영 후보,
6197c7b5-dbc0-41c5-b29f-0adb7fb8ed6c,jeonhyun-nampo-yeosongje,여송제,남포동,부산 중구 광복로18번길 5,,35.0993184361462,129.027038390805,EXACT_MATCH,1,10656018,여송제,부산 중구 광복로18번길 5,051-246-2111,35.09916210802681,129.02718770394407,EXACT,EXACT,MISSING,22,https://place.map.kakao.com/10656018,승인 후 DB 반영 후보,
c20c35e8-ab16-4988-8cdb-3d43c5aa81d6,jeonhyun-yeongdo-watda-sikdang,왔다식당,영도,부산 영도구 하나길 811,,35.0940741825936,129.056330271999,REVIEW,5,9291686,왔다식당,부산 영도구 하나길 811,051-412-2676,35.094025368019814,129.0563445058958,EXACT,EXACT,MISSING,6,,추가 검증 필요,주소·이름 부합 후보 2개(중복 아님)
e85c0180-ef04-4fad-9c8a-ffd5833de29b,saengdal-gwangalli-baegil-pyeongnaeng,백일평냉,광안리,부산 수영구 남천바다로10번길 29 1층,,35.1485634371324,129.111648737636,EXACT_MATCH,2,1174747976,백일평냉,부산 수영구 남천바다로10번길 29,051-625-5515,35.1485560183374,129.111645254415,EXACT,EXACT,MISSING,1,https://place.map.kakao.com/1174747976,승인 후 DB 반영 후보,
f6255fb2-9255-4d60-9707-f5d050345b10,saengdal-seomyeon-dammiok,담미옥,서면,부산 부산진구 복지로 15 개금포르투나 103호,,35.1517508521743,129.020608015723,NO_MATCH,2,,,,,,,,,,,,수동 Kakao 확인,부산 내 이름·주소 부합 후보 없음
ce5f4ac1-520e-4ffe-b50f-12372d4d9554,tzuyang-haeundae-chopilsal,초필살돼지구이 해운대본점,해운대,부산 해운대구 마린시티3로 23 벽산E오렌지프라자 A동 107호,,35.1566471472902,129.146930632686,REVIEW,1,27485287,초필살돼지구이 본점,부산 해운대구 마린시티3로 23,051-747-5571,35.15633667920038,129.14679979835628,PARTIAL,EXACT,MISSING,37,,추가 검증 필요,"이름/주소/전화 조합이 EXACT 기준 미달(name=PARTIAL,addr=EXACT,phone=MISSING)"
2ef870fb-1de0-4a40-ad5f-0d7d5b107d02,tzuyang-nampo-ijaemo-pizza,이재모피자 본점,남포동,부산 중구 광복중앙로 31,,35.1021026782328,129.030582344104,EXACT_MATCH,5,10070964,이재모피자 본점,부산 중구 광복중앙로 31,051-255-9494,35.10204215079571,129.030747190728,EXACT,EXACT,MISSING,16,https://place.map.kakao.com/10070964,승인 후 DB 반영 후보,
