id,name,slug,is_public,area,category,address,phone,current_thumbnail_url,photo_needed,suggested_image_filename
f8560a38-de47-4618-b687-6ccfbb4bded0,금손1983,sungsik-gwangalli-geumson-1983,true,광안리,한식,부산 수영구 수영로680번길 54 1층,,,yes,sungsik-gwangalli-geumson-1983.jpg
a2dbb9ed-7fe6-43ad-828c-c6d46278b09f,동양사라다 남천본점,saengdal-suyeong-dongyang-sarada-namcheon,true,광안리,베이커리/디저트,부산 수영구 남천서로20번길 31,0507-1356-5385,,yes,saengdal-suyeong-dongyang-sarada-namcheon.jpg
54328dd5-2728-4451-ba77-8f09ddbe7d4d,만우장,sungsik-gwangalli-manujang,true,광안리,중식,부산 수영구 수영로594번길 28-2,,,yes,sungsik-gwangalli-manujang.jpg
ea3ca318-62a3-46a9-ab0b-c49031affcfa,블랑제리 라센,saengdal-gwangalli-boulangerie-lassence,true,광안리,카페/베이커리,부산 수영구 남천바다로9번길 8,,,yes,saengdal-gwangalli-boulangerie-lassence.jpg
02921b80-dd6a-4f41-9538-7ca1e8a68884,비와술잔,jeonhyun-gwangalli-biwa-suljan,true,광안리,일식,부산 수영구 황령대로489번길 49-8 1층,,,yes,jeonhyun-gwangalli-biwa-suljan.jpg
37e8fa0a-be8e-4886-852d-9e982e16cae2,산해횟집,saengbang-gwangalli-sanhae-hoejip,true,광안리,회,부산 수영구 광안해변로344번길 17-20 풍경타워 8층,0507-1389-7718,,yes,saengbang-gwangalli-sanhae-hoejip.jpg
5ad03bde-3af4-43ab-bcf9-e307d32521ae,수변최고돼지국밥 민락본점,subyeon-choego-doejigukbap-minrak,true,광안리,돼지국밥,부산 수영구 광안해변로370번길 9-32,,,yes,subyeon-choego-doejigukbap-minrak.jpg
563dcfc8-0abe-4a3b-a32e-5385f1f8d870,연합횟집,jeonhyun-gwangalli-yeonhap-hoejip,true,광안리,회,부산 수영구 남천1동 192,,,yes,jeonhyun-gwangalli-yeonhap-hoejip.jpg
db028631-6eae-4cf9-b497-80c897d612da,진돼지곰탕,saengdal-gwangalli-jin-doejigomtang,true,광안리,돼지국밥,"부산 수영구 광안해변로284번길 4, 2층 201호",0507-1468-1634,,yes,saengdal-gwangalli-jin-doejigomtang.jpg
a6e2fab3-4fbb-44ba-a85d-26a16e04466a,해진아나고,sungsik-gwangalli-haejin-anago,true,광안리,회/해산물,부산 수영구 광서로10번길 47,,,yes,sungsik-gwangalli-haejin-anago.jpg
