slug,name,area,category,kind,source_name,title,source_url,label,status
ansungjae-yeonje-mapobonga,마포본가,연제,고기,youtube,안성재 셰프 유튜브,김재훈 셰프 단골집 소개,https://www.busan.com/view/busan/view.php?code=2025121109511500016,YouTube 출연,to_insert
hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,서면,돼지국밥,tv,전현무계획3,부산 편 돼지국밥 맛집,https://www.youtube.com/watch?v=jopCWT0ouHA,방송 출연,to_insert
jeonhyun-gijang-haenyeo-halmaejib,5번 친구해녀할매집,기장,해산물,tv,전현무계획3,시즌3 부산 기장 해녀촌 편 (with 김혜은),,방송 출연,to_insert
jeonhyun-gwangalli-biwa-suljan,비와술잔,광안리,일식,youtube,전현무계획2,9화 부산 이모카세,https://www.youtube.com/watch?v=pYNlYhN8ebQ,YouTube 출연,to_insert
jeonhyun-gwangalli-yeonhap-hoejip,연합횟집,광안리,회,tv,전현무계획2,8화 부산 로컬맛집,https://www.gukjenews.com/news/articleView.html?idxno=3148274,방송 출연,to_insert
jeonhyun-namgu-suta-hyemi-kalguksu,수타혜미칼국수,남구,분식/길거리,tv,전현무계획2,9회 부산편,https://www.gukjenews.com/news/articleView.html?idxno=3159804,방송 출연,to_insert
jeonhyun-nampo-mullebanga-jeukseokgui,물레방아 즉석구이,남포동,고기,youtube,전현무계획2,8화 부산 안금무 노포,https://www.youtube.com/watch?v=6DjVCwFEA9c,YouTube 출연,to_insert
jeonhyun-nampo-yeosongje,여송제,남포동,한식,tv,전현무계획2,9화 부산 남포동 냉채족발,https://www.gukjenews.com/news/articleView.html?idxno=3159804,방송 출연,to_insert
jeonhyun-yeongdo-watda-sikdang,왔다식당,영도,고기,tv,전현무계획2,8화 부산 로컬맛집,https://www.gukjenews.com/news/articleView.html?idxno=3148274,방송 출연,to_insert
live-today-donggu-halme-gimbap,할매김밥,기타,분식,tv,생방송 투데이,인생분식 - 부산 할매김밥 50년 노포,https://memoryu.ablo.kr/4821,방송 출연,to_insert
live-today-samjin-eomuk,삼진어묵 본점,영도,해산물,tv,생방송 투데이,생방송 투데이,https://meokja.tistory.com/m/2419,방송 출연,to_insert
live-today-suyeong-geumsin-jeonseon-sangyusibi,금신전선 상유십이,기타,한식,tv,생방송 투데이,네가 왜 거기서 나와 - 카페에 등장한 특별한 손님,https://memoryu.ablo.kr/4821,방송 출연,to_insert
matnyuk-sasang-doejigalbi,시골집명품석갈비,사상,고기,tv,맛있는녀석들,부산 돼지갈비 원정대,,방송 출연,to_insert
matnyuk-seomyeon-songjeong-3dae-gukbap,송정3대국밥,서면,돼지국밥,tv,맛있는녀석들,맛있는녀석들,https://www.dailymotion.com/video/x3ttdo6,방송 출연,to_insert
naeho-naengmyeon,내호냉면,남구,밀면,tv,맛있는녀석들,맛있는녀석들,https://www.youtube.com/watch?v=WUBkecmzEs8,방송 출연,to_insert
oneuln-nampo-sammi-jip,삼미집,남포동,한식,tv,오늘N,할매식당 - 부산 국제시장 소갈비찜탕,https://news.nate.com/view/20260409n28956,방송 출연,to_insert
saengbang-gwangalli-sanhae-hoejip,산해횟집,광안리,회,tv,생방송투데이,생방송투데이 2221회,,방송 출연,to_insert
saengdal-bukgu-shunsaikubo,슌사이쿠보 화명,기타,아시안,tv,생활의달인,1027회,https://programs.sbs.co.kr/culture/lifemaster/clip/55731/OC479169091,방송 출연,to_insert
saengdal-geumjeong-songs-bakery,송스 베이커리,기타,베이커리/디저트,tv,생활의달인,빵의 전쟁2,https://programs.sbs.co.kr/culture/lifemaster/clip/55731/OC473025008,방송 출연,to_insert
saengdal-gijang-ilgwangdang,일광당,기장,베이커리/디저트,tv,생활의달인,생활의달인,https://www.youtube.com/watch?v=SBENitS_4CM,방송 출연,to_insert
saengdal-gijang-jeil-bunsik,제일분식,기장,분식/길거리,tv,생활의달인,1024회,https://www.youtube.com/watch?v=q5aztWoZJRs,방송 출연,to_insert
saengdal-gwangalli-jin-doejigomtang,진돼지곰탕,광안리,돼지국밥,tv,생활의달인,M슐랭 돼지곰탕 달인 (1022회),,방송 출연,to_insert
saengdal-haeundae-amisan,아미산,해운대,중식,tv,생활의달인,996회 양수평 대사부 중식,,방송 출연,to_insert
saengdal-haeundae-missaem-ssalbbang,미쌤쌀빵,해운대,베이커리/디저트,tv,생활의달인,빵의 전쟁2 편,https://hulk0713.tistory.com/entry/생활의-달인-빵의-전쟁-부산-2탄-베이커리-달인-부산-송스베이커리-미쌤쌀빵-쉐라미과자점-베엔씨제과,방송 출연,to_insert
saengdal-namgu-daeyeon-milmyeon,대연밀면,남구,밀면,tv,생활의달인,생활의달인,https://programs.sbs.co.kr/culture/lifemaster/vod/55731/22000611729,방송 출연,to_insert
saengdal-saha-cheramie,쉐라미과자점,기타,베이커리/디저트,tv,생활의달인,빵의 전쟁2,https://hulk0713.tistory.com/entry/생활의-달인-빵의-전쟁-부산-2탄-베이커리-달인-부산-송스베이커리-미쌤쌀빵-쉐라미과자점-베엔씨제과,방송 출연,to_insert
saengdal-sasang-peanut-bbangatgan,피넛빵앗간,사상,베이커리/디저트,tv,생활의달인,빵의 전쟁 1026회 부산 소금빵,,방송 출연,to_insert
saengdal-suyeong-dongyang-sarada-namcheon,동양사라다 남천본점,광안리,베이커리/디저트,tv,생활의달인,989회 부산 샐러드빵 달인,,방송 출연,to_insert
saengdal-suyeong-sushibashiku,스시바시쿠,광안리,일식,tv,생활의달인,1027회 오사카에서 온 초밥 달인,,방송 출연,to_insert
saengdal-yeongdo-sato-bunsik,사또분식,영도,분식/길거리,tv,생활의달인,이색 김밥 달인 편,https://programs.sbs.co.kr/culture/lifemaster/vod/55733/22000500544,방송 출연,to_insert
sokssiwonhan-daegutang-haeundae,속씨원한 대구탕 해운대 본점,해운대,해산물,tv,맛있는녀석들,맛있는녀석들,https://www.youtube.com/watch?v=AvDFjLoU9n8,방송 출연,to_insert
