status,slug,name,is_published,area,category,address,lat,lng,coordinate_status,field_status,duplicate_status,appearance_status,price_status,broadcast_date_status,thumbnail_status,publish_decision,note
publish_ready_with_minor_review,jeonhyun-gwangalli-biwa-suljan,비와술잔,false,광안리,일식,부산 수영구 황령대로489번길 49-8 1층,35.1402076759138,129.109263956848,ok,missing:kakao_map_url,unique,ok(1),ok,ok,missing,publish_ready_with_minor_review,썸네일 없음
publish_ready_with_minor_review,jeonhyun-yeongdo-watda-sikdang,왔다식당,false,영도,고기,부산 영도구 하나길 811,35.0940741825936,129.056330271999,ok,missing:kakao_map_url,weak:shared_video_url(jeonhyun-gwangalli-yeonhap-hoejip),ok(1),ok,ok,missing,publish_ready_with_minor_review,weak:shared_video_url(jeonhyun-gwangalli-yeonhap-hoejip); 썸네일 없음
publish_ready_with_minor_review,jeonhyun-gwangalli-yeonhap-hoejip,연합횟집,false,광안리,회,부산 수영구 남천1동 192,35.1404596901443,129.109762929823,ok,missing:kakao_map_url,weak:shared_video_url(jeonhyun-yeongdo-watda-sikdang),ok(1),ok,ok,missing,publish_ready_with_minor_review,weak:shared_video_url(jeonhyun-yeongdo-watda-sikdang); 썸네일 없음
publish_ready_with_minor_review,jeonhyun-nampo-yeosongje,여송제,false,남포동,한식,부산 중구 광복로18번길 5,35.0993184361462,129.027038390805,ok,missing:kakao_map_url,weak:shared_video_url(jeonhyun-namgu-suta-hyemi-kalguksu),ok(1),ok,ok,missing,publish_ready_with_minor_review,weak:shared_video_url(jeonhyun-namgu-suta-hyemi-kalguksu); 썸네일 없음
publish_ready_with_minor_review,jeonhyun-nampo-mullebanga-jeukseokgui,물레방아 즉석구이,false,남포동,고기,부산 중구 중앙대로41번길 11-1,35.1013730572428,129.036245143996,ok,missing:kakao_map_url,unique,ok(1),ok,ok,missing,publish_ready_with_minor_review,썸네일 없음
publish_ready_with_minor_review,2tv-sasang-yeonghui-halmae-jaecheopguk,영희할매재첩국,false,사상,한식,부산 사상구 낙동대로1530번길 20-15,35.1943840522469,128.985120470772,ok,missing:kakao_map_url,unique,ok(1),ok,ok,missing,publish_ready_with_minor_review,썸네일 없음
publish_ready_with_minor_review,baekban-seogu-yetnal-guksujip,옛날국수집,false,기타,분식/길거리,부산 서구 까치고개로160번길 54,35.099268125477,129.016099525161,ok,missing:kakao_map_url,unique,ok(1),ok,ok,missing,publish_ready_with_minor_review,썸네일 없음
publish_ready_with_minor_review,baekban-nampo-subok-centa,수복센타,false,남포동,한식,부산 중구 남포길 25-3,35.0988509225395,129.031456197999,ok,missing:kakao_map_url,unique,ok(1),ok,ok,missing,publish_ready_with_minor_review,썸네일 없음
publish_ready_with_minor_review,tzuyang-nampo-ijaemo-pizza,이재모피자 본점,false,남포동,양식,부산 중구 광복중앙로 31,35.1021026782328,129.030582344104,ok,missing:kakao_map_url,unique,ok(1),ok,null,missing,publish_ready_with_minor_review,방영일 null; 썸네일 없음
publish_ready_with_minor_review,tzuyang-haeundae-chopilsal,초필살돼지구이 해운대본점,false,해운대,고기,부산 해운대구 마린시티3로 23 벽산E오렌지프라자 A동 107호,35.1566471472902,129.146930632686,ok,missing:kakao_map_url,unique,ok(1),ok,ok,missing,publish_ready_with_minor_review,썸네일 없음
publish_ready_with_minor_review,ansungjae-yeonje-mapobonga,마포본가,false,연제,고기,부산 연제구 월드컵대로111번길 10,35.184342930923,129.082279198059,ok,missing:kakao_map_url,unique,ok(1),ok,ok,missing,publish_ready_with_minor_review,썸네일 없음
publish_ready_with_minor_review,saengdal-gwangalli-baegil-pyeongnaeng,백일평냉,false,광안리,한식,부산 수영구 남천바다로10번길 29 1층,35.1485634371324,129.111648737636,ok,missing:kakao_map_url,weak:shared_video_url(saengdal-seomyeon-dammiok),ok(1),placeholder,ok,missing,publish_ready_with_minor_review,weak:shared_video_url(saengdal-seomyeon-dammiok); 가격 확인 필요; 썸네일 없음
publish_ready_with_minor_review,saengdal-seomyeon-dammiok,담미옥,false,서면,한식,부산 부산진구 복지로 15 개금포르투나 103호,35.1517508521743,129.020608015723,ok,missing:kakao_map_url,weak:shared_video_url(saengdal-gwangalli-baegil-pyeongnaeng),ok(1),placeholder,ok,missing,publish_ready_with_minor_review,weak:shared_video_url(saengdal-gwangalli-baegil-pyeongnaeng); 가격 확인 필요; 썸네일 없음
