status,slug,name,area,category,address,lat,lng,kakao_map_url,main_menu,price_text,summary,source_name,source_type,source_url,appeared_at,image_candidate_url,image_source_type,image_risk_level,duplicate_status,note
ready_to_register,jeonhyun-namgu-suta-hyemi-kalguksu,수타혜미칼국수,남구,분식/길거리,부산 남구 문현금융로 4,,,,손칼국수,"손칼국수 5,000원 / 비빔칼국수 6,000원","50년 전통, 직접 반죽해 손으로 썰어내는 멸치육수 손칼국수집 (전현무계획 곽준빈 추천)",전현무계획2,tv,https://www.gukjenews.com/news/articleView.html?idxno=3159804,2024-12-13,,,none,unique,"방송·식당명 국제뉴스 확인, 주소·메뉴 busan.com 교차확인. 좌표 미확인(등록 시 지오코딩 필요)."
ready_to_register,sungsik-gwangalli-haejin-anago,해진아나고,광안리,회/해산물,부산 수영구 광서로10번길 47,,,,왕발이(붕장어 사시미+구이)·아나고 사시미,"아나고사시미 대 90,000원 / 왕발이 시가","오후 2시부터 전화 예약만 받는 붕장어 전문점, 왕발이가 대표 (성시경 먹을텐데)",성시경의 먹을텐데,youtube,https://www.youtube.com/watch?v=VkW3eo6C0fA,2024,,,none,unique,"성시경 공식 유튜브+부산일보로 식당명·주소·메뉴 확인. 업로드일 미특정. 좌표 미확인(지오코딩 필요)."
ready_to_register,sungsik-gwangalli-manujang,만우장,광안리,중식,부산 수영구 수영로594번길 28-2,,,,탕수육·만두·짜장면/짬뽕,(미확인),"성시경이 ''최애 부산 중국집''으로 꼽은 광안리 노포 중식당 (성시경 먹을텐데)",성시경의 먹을텐데,youtube,https://www.youtube.com/watch?v=zA-F9EtsRJc,2024-08-30,,,none,unique,"성시경 공식 유튜브로 방송 확인, 주소 다이닝코드. 가격 미확인. 좌표 미확인(지오코딩 필요)."
ready_to_register,saengdal-gwangalli-boulangerie-lassence,블랑제리 라센,광안리,카페/베이커리,부산 수영구 남천바다로9번길 8,,,,메밀쿠론·크루아상·바게트,"메밀쿠론 1개 12,800원 (반개 7,000원)","르 꼬르동 블루 출신 임소영 달인의 천연발효 베이커리 (생활의 달인 빵의 전쟁)",생활의 달인 960회,tv,https://www.lecturernews.com/news/articleView.html?idxno=167320,2024-12-02,https://www.diningcode.com/profile.php?rid=i9NlGmkDZ8kX,web(다이닝코드 프로필),REVIEW,unique,"방영(960회)+주소/메뉴/가격 다이닝코드 교차확인. image는 프로필 페이지(실제 사진 별도 확인). 좌표 미확인(지오코딩 필요)."
ready_to_register,tzuyang-gwangalli-darijip,다리집,광안리,분식/길거리,부산 수영구 남천바다로10번길 70 101호,,,,떡볶이·오징어튀김·만두,"떡볶이 6,000원 / 오징어튀김 6,500원 / 만두 5,500원","단맛·매운맛이 조화로운 남천동 떡볶이 노포, 쯔양 부산 3대 떡볶이 투어 포함",쯔양,youtube,https://www.busan.com/view/busan/view.php?code=2025080714534416582,2025-07,,,none,unique,"쯔양 부산편 출연 부산일보 확인. 원본 유튜브 URL 미확정. 좌표 미확인(지오코딩 필요)."
ready_to_register,tzuyang-haeundae-sanggukine,상국이네,해운대,분식/길거리,부산 해운대구 구남로41번길 40-1 (해운대전통시장),,,,떡볶이·튀김·김밥,"떡볶이 5,000원 / 튀김 1,200원 / 김밥 3,500원","물엿을 듬뿍 넣은 달짝지근한 가래떡 떡볶이로 유명한 해운대시장 노포 (쯔양 부산 3대 떡볶이)",쯔양,youtube,https://www.busan.com/view/busan/view.php?code=2025080714534416582,2025-07,,,none,unique,"쯔양 부산편 출연 부산일보 확인. 원본 유튜브 URL 미확정. 좌표 미확인(지오코딩 필요)."
ready_to_register,tzuyang-yeongdo-dongbang-milmyeon,동방밀면,영도,밀면,부산 영도구 꿈나무길 239,,,,물밀면·비빔밀면,"물밀면 7,000원 / 비빔밀면 7,500원","한방 향이 약하고 얇은 면발이 특징인 영도 밀면집, 쯔양이 대중적 입맛에 가장 맞다고 꼽음",쯔양,youtube,https://www.busan.com/view/busan/view.php?code=2025080714534416582,2025-07,,,none,unique,"쯔양 부산편 출연 부산일보 확인. 등록된 다른 밀면집과 별개. 좌표 미확인(지오코딩 필요)."
ready_to_register,tzuyang-yeongdo-dongsamdong-buljjampong,동삼동불짬뽕,영도,중식,부산 영도구 동삼남로 21,,,,불짬뽕·불짜장(맵기 4단계),"불짬뽕 8,000원·짜장면 6,000원 (보도 기준, 공식가 재확인 권장)","매운맛으로 유명한 영도 동삼동 매운 짬뽕집, 쯔양 매운맛 도전 먹방",쯔양,youtube,https://www.busan.com/view/busan/view.php?code=2025080714534416582,2025-07,,,none,unique,"쯔양 부산편 출연 부산일보 확인. 상호 정식명 다이닝코드 확인. 가격 재확인 권장. 좌표 미확인."
ready_to_register,tzuyang-gangseo-samseong-galmijogae,삼성갈미조개,기타,회/해산물,부산 강서구 르노삼성대로 602 2층,,,,갈삼구이(갈미조개+삼겹살)·갈미조개 샤브샤브,"중 50,000원 / 대 60,000원","낙동강 하구 특산 갈미조개를 삼겹살과 구워 먹는 명지 향토 맛집, 쯔양 방문",쯔양,youtube,https://www.busan.com/view/busan/view.php?code=2025081316134398280,2025-07,,,none,unique,"쯔양 출연 부산일보+튜브맵 교차확인. area 강서구→기타. 좌표 미확인(지오코딩 필요)."
ready_to_register,tzuyang-seomyeon-dongchuni-mandu,동춘이만두,서면,분식/길거리,부산 부산진구 당감로25번길 11,,,,손수제비·비빔칼국수·고기만두,"수제비 약 3,500~4,000원 / 비빔칼국수 4,500원 / 고기만두 3,000원 (전 메뉴 5천원 이하)","전 메뉴 5천원 이하 당감동 30년 가성비 노포, 쯔양이 맛본 로컬 맛집",쯔양,youtube,https://www.busan.com/view/busan/view.php?code=2025081316134398280,2025-07,,,none,unique,"쯔양 출연 부산일보 확인, 상호·주소 다이닝코드. 행정구 부산진구 당감동(area 서면 매핑). 가격 출처 간 차이. 좌표 미확인."
