post_office,recommendation_number,official_restaurant_name,normalized_restaurant_name,selected_years,address,phone,main_menu,price_text,business_hours,pdf_page,kakao_place_id,kakao_url,lat,lng,matched_restaurant_id,matched_restaurant_name,matched_slug,current_source_type,existing_trust_source,classification,match_reason,proposed_slug,recommended_image_filename,official_source_url,review_note
부산우체국,1,다무치아,다무치아,2024|2025|2026,"부산광역시 중구 대청로135번길 13-1, 3층",0507-1443-9085,"바질페스토 파스타 ₩15,000 | 감바스&오일파스타 ₩18,000 | 코스요리 ₩50,000","바질페스토 파스타 ₩15,000 | 감바스&오일파스타 ₩18,000 | 코스요리 ₩50,000",11:00-21:00 | 20:30 라스트오더 | 일요일 정기휴무,4,1297139609,http://place.map.kakao.com/1297139609,35.1040407805222,129.034626060667,,,,,,READY_FOR_IMAGE,kakao_verified,postoffice-busan-01,postoffice-busan-01.jpg,OFFICIAL_URL_REVIEW,
부산우체국,2,된장한상,된장한상,2025|2026,부산광역시 중구 대청로141번길 17,051-442-3006,"한우육회비빔밥 된장한상 ₩12,000 | 청국장한상 ₩10,000 | 제육볶음된장한상 ₩9,500","한우육회비빔밥 된장한상 ₩12,000 | 청국장한상 ₩10,000 | 제육볶음된장한상 ₩9,500",11:00-19:00(토 ~16:00) | 18:50 라스트오더 | 일요일 휴무,4,715154557,http://place.map.kakao.com/715154557,35.1043462714426,129.035055842391,,,,,,READY_FOR_IMAGE,kakao_verified,postoffice-busan-02,postoffice-busan-02.jpg,OFFICIAL_URL_REVIEW,
부산우체국,3,황태를벗삼아,황태를벗삼아,2025|2026,부산광역시 중구 대청로137번길 10-1,051-468-5958,"황태통찜(2인분) ₩19,000 | 황태북어탕 ₩10,000","황태통찜(2인분) ₩19,000 | 황태북어탕 ₩10,000",10:30-21:00,5,19337206,http://place.map.kakao.com/19337206,35.10370470095911,129.0350519522426,,,,,,READY_FOR_IMAGE,kakao_verified,postoffice-busan-03,postoffice-busan-03.jpg,OFFICIAL_URL_REVIEW,
부산우체국,4,분식회계,분식회계,2026,부산광역시 중구 대청로141번길 18,051-923-2236,"쫄우동 ₩7,000 | 비빔만두 ₩7,500 | 김초밥 ₩4,500","쫄우동 ₩7,000 | 비빔만두 ₩7,500 | 김초밥 ₩4,500",10:30-19:00,5,,,,,,,,,,REVIEW,kakao_no_match,,,OFFICIAL_URL_REVIEW,kakao 미매칭
동래우체국,1,쿠루미과자점,쿠루미과자점,2026,부산광역시 동래구 온천천로 71-1,0507-1347-8725,"쿠루미 생식빵 ₩8,000 | 공주밤식빵 ₩7,000 | 백빙수 ₩18,000","쿠루미 생식빵 ₩8,000 | 공주밤식빵 ₩7,000 | 백빙수 ₩18,000",11:00-19:00(주말 ~18:00) | 화요일 휴무,6,27364090,http://place.map.kakao.com/27364090,35.212753231407454,129.0804648259826,,,,,,READY_FOR_IMAGE,kakao_verified,postoffice-dongnae-01,postoffice-dongnae-01.jpg,OFFICIAL_URL_REVIEW,
동래우체국,2,수안커피컴퍼니,수안커피컴퍼니,2024|2025|2026,부산광역시 동래구 충렬대로256번길 32,1877-8358,"고메 플레이트 블랙 ₩11,000 | 솔티크림 콜드브루 ₩9,000 | 핸드드립 ₩9,000","고메 플레이트 블랙 ₩11,000 | 솔티크림 콜드브루 ₩9,000 | 핸드드립 ₩9,000",커피하우스 10:00-22:00 | 플래그샵 스토어 11:00-18:00,6,988686782,http://place.map.kakao.com/988686782,35.19979548391355,129.08669942629922,,,,,,READY_FOR_IMAGE,kakao_verified,postoffice-dongnae-02,postoffice-dongnae-02.jpg,OFFICIAL_URL_REVIEW,kakao 동명 복수(주소확인필요)
동래우체국,3,동래밀면,동래밀면,2024|2025|2026,부산광역시 동래구 명륜로 47,051-552-3092,"밀면 ₩8,000 | 비빔밀면 ₩8,000 | 왕만두 ₩7,000 | 들깨손칼국수 ₩8,000","밀면 ₩8,000 | 비빔밀면 ₩8,000 | 왕만두 ₩7,000 | 들깨손칼국수 ₩8,000",10:30-24:00,6,12519573,http://place.map.kakao.com/12519573,35.1983246042788,129.084200429359,,,,,,READY_FOR_IMAGE,kakao_verified,postoffice-dongnae-03,postoffice-dongnae-03.jpg,OFFICIAL_URL_REVIEW,kakao 동명 복수(주소확인필요)
동래우체국,4,영남식육식당 동래점,영남식육식당 동래점,2024|2025|2026,부산광역시 동래구 명륜로112번가길 51,0507-1332-2228,"깍둑등심(110g) ₩40,000 | 소금정식(110g) ₩36,000 | 양념진갈비(150g) ₩33,000","깍둑등심(110g) ₩40,000 | 소금정식(110g) ₩36,000 | 양념진갈비(150g) ₩33,000",11:40-14:30 | 16:30-22:30 | 21:00 라스트오더,6,21965019,http://place.map.kakao.com/21965019,35.2057710116254,129.082985393124,,,,,,READY_FOR_IMAGE,kakao_verified,postoffice-dongnae-04,postoffice-dongnae-04.jpg,OFFICIAL_URL_REVIEW,kakao 동명 복수(주소확인필요)
동래우체국,5,봉식당,봉식당,2026,부산광역시 동래구 온천장로119번길 26,0507-1367-9913,"스페셜코스(1인) ₩68,000 | A코스(1인) ₩55,000 | B코스(1인) ₩36,000","스페셜코스(1인) ₩68,000 | A코스(1인) ₩55,000 | B코스(1인) ₩36,000",12:00-15:00 | 17:00-22:00,7,1679524259,http://place.map.kakao.com/1679524259,35.22171167611783,129.08354873684863,,,,,,READY_FOR_IMAGE,kakao_verified,postoffice-dongnae-05,postoffice-dongnae-05.jpg,OFFICIAL_URL_REVIEW,
동래우체국,6,리바이브,리바이브,2026,부산광역시 동래구 명륜로 173,051-553-1880,"그릴드베지 샐러드 ₩10,800 | 바질루꼴라 치아바타샌드위치 ₩9,800","그릴드베지 샐러드 ₩10,800 | 바질루꼴라 치아바타샌드위치 ₩9,800",09:00-18:30(토요일 ~16:00) | 일·월요일 휴무,7,1838232516,http://place.map.kakao.com/1838232516,35.20928082379252,129.0822098513859,,,,,,READY_FOR_IMAGE,kakao_verified,postoffice-dongnae-06,postoffice-dongnae-06.jpg,OFFICIAL_URL_REVIEW,kakao 동명 복수(주소확인필요)
